substrate,model,x_type,alpha_phys_msd_64_to_1024,alpha_r2,late_x,late_msd_phys,late_mean_perp_mismatch,late_near_return_frac,late_near_return_mean_perp_mismatch,late_near_return_n
AB_N30,baseline_uniform,steps,0.9579437385952982,0.9997470109631569,1024.0,830.0169248456857,1.1189433289173307,0.009166666666666667,0.7441813798123014,11
AB_N30,bias_beta_10,steps,0.9326254503965419,0.9999721324963325,1024.0,297.67517356840574,0.9672984656717195,0.0175,0.9349506182424517,21
AB_N30,bias_beta_5,steps,0.9489972887569427,0.9999538105397229,1024.0,616.295404121144,0.9880939631566444,0.0125,0.8873681931128841,15
AB_N30,cost_lambda_10,cost_time,0.44522832613478125,0.9907170763220454,1024.0,13.42561230615032,1.2824377282718449,0.36666666666666664,1.2927270239202182,440
AB_N30,cost_lambda_5,cost_time,0.891788870164105,0.9986989196581035,1024.0,146.5709247494624,1.203791009873482,0.03,1.364959899479599,36
Penrose_N24,baseline_uniform,steps,0.9624773726902264,0.9992654876758681,1024.0,833.2395371393358,1.1643279348778108,0.006666666666666667,,8
Penrose_N24,bias_beta_10,steps,0.9468627010214761,0.9999298912048467,1024.0,360.9887576046333,0.9835758069900749,0.015,1.010580639244177,18
Penrose_N24,bias_beta_5,steps,0.984239844793954,0.9999521731283868,1024.0,689.628766146725,1.0285887731252912,0.005833333333333334,,7
Penrose_N24,cost_lambda_10,cost_time,0.5602292823889091,0.969504992768529,1024.0,21.297276586253222,1.4045088342645213,0.21833333333333332,1.2984322551918643,262
Penrose_N24,cost_lambda_5,cost_time,0.955512476384106,0.999611353558173,1024.0,213.29094278212074,1.2994955677281728,0.015833333333333335,1.1022427040620473,19
