substrate,condition,seed,spearman
AB_N30,native,—,0.727986244406332
AB_N30,null_disc,0,0.05155758003927056
AB_N30,null_disc,1,0.05238611613221221
AB_N30,null_disc,2,0.05560124104733275
AB_N30,null_disc,3,0.04662980445736844
AB_N30,null_disc,4,0.05367166782641334
AB_N30,shuffled_perp,0,0.6092368627490229
AB_N30,shuffled_perp,1,0.6155502134089798
AB_N30,shuffled_perp,2,0.614916404191996
AB_N30,shuffled_perp,3,0.6166888965589036
AB_N30,shuffled_perp,4,0.6141938087615726
AB_N30,shuffled_perp,5,0.6255615080102489
AB_N30,shuffled_perp,6,0.6159432318803114
AB_N30,shuffled_perp,7,0.6113539506063791
AB_N30,shuffled_perp,8,0.61468431978465
AB_N30,shuffled_perp,9,0.6181475166415453
Penrose_N24,native,—,0.7583630932660207
Penrose_N24,null_disc,0,0.050210500858781745
Penrose_N24,null_disc,1,0.04608698822933754
Penrose_N24,null_disc,2,0.04335744311743083
Penrose_N24,null_disc,3,0.04548842601830805
Penrose_N24,null_disc,4,0.04507809365099034
Penrose_N24,shuffled_perp,0,0.7145673792997016
Penrose_N24,shuffled_perp,1,0.7074360593913092
Penrose_N24,shuffled_perp,2,0.7112324285267697
Penrose_N24,shuffled_perp,3,0.7111751673117674
Penrose_N24,shuffled_perp,4,0.7121905569379734
Penrose_N24,shuffled_perp,5,0.7093843214915901
Penrose_N24,shuffled_perp,6,0.7161528690929081
Penrose_N24,shuffled_perp,7,0.709140610819326
Penrose_N24,shuffled_perp,8,0.7173068303019644
Penrose_N24,shuffled_perp,9,0.710948579067567
