substrate,predictor,spearman,p_value,abs_spearman
AB,hull_depth,-0.25301948409146985,1.77383530611941e-12,0.25301948409146985
AB,boundary_dist,-0.2976973342315368,6.768989257294851e-17,0.2976973342315368
AB,degree,-0.2826388337061172,2.5747862419306263e-15,0.2826388337061172
AB,max_angular_gap,0.2940526551734805,1.666081404120335e-16,0.2940526551734805
AB,directional_balance,0.28359701168530244,2.055890543231282e-15,0.28359701168530244
Penrose,hull_depth,-0.3654803465991683,1.152150409810483e-22,0.3654803465991683
Penrose,boundary_dist,-0.36083213171601314,4.292882880797906e-22,0.36083213171601314
Penrose,degree,-0.279882401827076,1.4675305354169892e-13,0.279882401827076
Penrose,max_angular_gap,0.3361699934281249,3.235772849273289e-19,0.3361699934281249
Penrose,directional_balance,0.3288211443619071,2.0831029157935536e-18,0.3288211443619071
