subset,audit_mode,feature_set,replicates,auc_mean,auc_sd,ap_mean,ap_sd,fresh_label_jaccard_vs_native_mean,fresh_label_jaccard_vs_native_sd,fresh_native_core_retention_mean,fresh_native_core_retention_sd,edge_jaccard_mean,edge_jaccard_sd
full_28719,fresh_reconstruction,address,10,0.516762,0.028199,0.006383,0.001040,0.002526,0.002200,0.003045,0.002647,0.000092,0.000035
full_28719,fresh_reconstruction,hybrid,10,0.912342,0.005648,0.038033,0.004113,0.002526,0.002200,0.003045,0.002647,0.000092,0.000035
full_28719,fresh_reconstruction,weave,10,0.911037,0.005576,0.036101,0.004454,0.002526,0.002200,0.003045,0.002647,0.000092,0.000035
full_28719,identity_persistence,hybrid,10,0.659772,0.002002,0.054696,0.000617,0.002526,0.002200,0.003045,0.002647,0.000092,0.000035
full_28719,identity_persistence,weave,10,0.590344,0.005654,0.059135,0.002089,0.002526,0.002200,0.003045,0.002647,0.000092,0.000035
interior_75pct,fresh_reconstruction,address,10,0.523886,0.033386,0.007339,0.001048,0.002883,0.001940,0.004808,0.003205,0.000092,0.000035
interior_75pct,fresh_reconstruction,hybrid,10,0.913676,0.005442,0.043016,0.005029,0.002883,0.001940,0.004808,0.003205,0.000092,0.000035
interior_75pct,fresh_reconstruction,weave,10,0.911686,0.006771,0.041753,0.005662,0.002883,0.001940,0.004808,0.003205,0.000092,0.000035
interior_75pct,identity_persistence,hybrid,10,0.854559,0.002916,0.042892,0.001933,0.002883,0.001940,0.004808,0.003205,0.000092,0.000035
interior_75pct,identity_persistence,weave,10,0.829696,0.004093,0.037589,0.001985,0.002883,0.001940,0.004808,0.003205,0.000092,0.000035
