substrate,seed,threshold,n_near_loops,n_dippers
AB_N30,0,2.0,206,191
AB_N30,0,3.0,280,252
AB_N30,1,2.0,202,183
AB_N30,1,3.0,310,275
AB_N30,2,2.0,210,188
AB_N30,2,3.0,303,272
AB_N30,3,2.0,190,163
AB_N30,3,3.0,285,244
AB_N30,4,2.0,199,182
AB_N30,4,3.0,285,254
AB_N30,5,2.0,184,170
AB_N30,5,3.0,280,257
AB_N30,6,2.0,198,169
AB_N30,6,3.0,296,258
AB_N30,7,2.0,191,164
AB_N30,7,3.0,292,254
AB_N30,8,2.0,226,201
AB_N30,8,3.0,335,297
AB_N30,9,2.0,210,189
AB_N30,9,3.0,300,267
Penrose_N24,0,2.0,193,180
Penrose_N24,0,3.0,247,223
Penrose_N24,1,2.0,191,176
Penrose_N24,1,3.0,258,234
Penrose_N24,2,2.0,161,152
Penrose_N24,2,3.0,228,208
Penrose_N24,3,2.0,182,169
Penrose_N24,3,3.0,247,226
Penrose_N24,4,2.0,203,188
Penrose_N24,4,3.0,269,242
Penrose_N24,5,2.0,185,167
Penrose_N24,5,3.0,263,235
Penrose_N24,6,2.0,188,175
Penrose_N24,6,3.0,254,229
Penrose_N24,7,2.0,201,189
Penrose_N24,7,3.0,261,244
Penrose_N24,8,2.0,209,189
Penrose_N24,8,3.0,291,257
Penrose_N24,9,2.0,208,194
Penrose_N24,9,3.0,270,250
